OrderID,OrderDate,Region,Category,Quantity,UnitPrice,Sales,Profit
ORD-1060,2025-04-06,East,Furniture,5,2944,14720.0,3357.0
ORD-1081,2025-04-07,North,Electronics,4,1606,6424.0,573.0
ORD-1214,2025-04-11,North,Furniture,9,3920,35280.0,2615.0
ORD-1023,2025-04-11,East,Electronics,3,3466,10398.0,822.0
ORD-1158,2025-04-12,West,Stationery,4,4764,19056.0,2120.0
ORD-1010,2025-04-13,North,Electronics,3,2859,8577.0,842.0
ORD-1009,2025-04-19,East,Electronics,4,834,3336.0,444.0
ORD-1143,2025-04-19,East,Electronics,6,560,3360.0,450.0
ORD-1021,2025-04-20,West,Stationery,4,4513,18052.0,5335.0
ORD-1228,2025-04-21,North,Furniture,7,1719,12033.0,2478.0
ORD-1189,2025-04-26,West,Furniture,7,593,4151.0,342.0
ORD-1109,2025-04-27,North,Electronics,7,2452,17164.0,2162.0
ORD-1038,2025-05-03,West,Stationery,1,432,432.0,36.0
ORD-1022,2025-05-03,West,Electronics,4,3668,14672.0,3487.0
ORD-1211,2025-05-04,North,Furniture,8,1151,9208.0,1106.0
ORD-1217,2025-05-08,West,Electronics,6,996,5976.0,1164.0
ORD-1130,2025-05-09,South,Electronics,1,2379,2379.0,696.0
ORD-1101,2025-05-11,South,Electronics,3,3625,10875.0,710.0
ORD-1073,2025-05-14,South,Stationery,1,1701,1701.0,345.0
ORD-1195,2025-05-14,West,Electronics,6,2981,17886.0,1052.0
ORD-1175,2025-05-16,West,Furniture,6,2453,14718.0,3665.0
ORD-1168,2025-05-16,West,Electronics,1,3833,3833.0,798.0
ORD-1115,2025-05-17,West,Electronics,3,1582,4746.0,364.0
ORD-1062,2025-05-17,West,Stationery,8,925,7400.0,614.0
ORD-1112,2025-05-18,North,Electronics,2,2204,4408.0,577.0
ORD-1107,2025-05-20,North,Stationery,7,1537,10759.0,1167.0
ORD-1118,2025-05-22,West,Electronics,4,2643,10572.0,1312.0
ORD-1133,2025-05-25,North,Stationery,3,3746,11238.0,1125.0
ORD-1114,2025-05-25,East,Electronics,1,2033,2033.0,196.0
ORD-1136,2025-05-27,South,Electronics,1,3181,3181.0,640.0
ORD-1177,2025-05-28,West,Electronics,4,2375,9500.0,1774.0
ORD-1226,2025-05-29,South,Stationery,9,4246,38214.0,5804.0
ORD-1200,2025-05-30,West,Furniture,1,3145,3145.0,474.0
ORD-1237,2025-05-31,East,Furniture,7,3495,24465.0,7187.0
ORD-1205,2025-06-04,East,Furniture,2,3028,6056.0,605.0
ORD-1208,2025-06-06,South,Furniture,3,4848,14544.0,3886.0
ORD-1120,2025-06-08,West,Electronics,7,4200,29400.0,1720.0
ORD-1129,2025-06-08,West,Electronics,7,2435,17045.0,1193.0
ORD-1058,2025-06-08,East,Stationery,5,1875,9375.0,2662.0
ORD-1122,2025-06-10,East,Electronics,3,3104,9312.0,1811.0
ORD-1190,2025-06-10,South,Stationery,3,537,1611.0,360.0
ORD-1048,2025-06-10,South,Stationery,8,3639,29112.0,6950.0
ORD-1027,2025-06-10,South,Electronics,5,2135,10675.0,568.0
ORD-1053,2025-06-17,North,Furniture,4,4112,16448.0,3849.0
ORD-1040,2025-06-17,West,Furniture,9,4009,36081.0,5020.0
ORD-1185,2025-06-18,North,Stationery,9,2082,18738.0,3367.0
ORD-1019,2025-06-18,South,Electronics,9,1536,13824.0,1179.0
ORD-1092,2025-06-20,North,Stationery,2,1005,2010.0,573.0
ORD-1188,2025-06-21,North,Stationery,6,1053,6318.0,421.0
ORD-1028,2025-06-22,North,Electronics,9,1911,17199.0,4606.0
ORD-1152,2025-06-23,North,Furniture,8,1871,14968.0,864.0
ORD-1074,2025-06-26,East,Electronics,2,2998,5996.0,400.0
ORD-1061,2025-06-28,South,Electronics,7,2840,19880.0,3357.0
ORD-1144,2025-06-28,North,Electronics,5,2088,10440.0,1378.0
ORD-1014,2025-06-29,West,Electronics,3,4871,14613.0,1356.0
ORD-1029,2025-07-01,West,Stationery,7,215,1505.0,136.0
ORD-1097,2025-07-02,South,Electronics,3,326,978.0,158.0
ORD-1032,2025-07-03,North,Furniture,3,4731,14193.0,2512.0
ORD-1085,2025-07-03,West,Electronics,3,3251,9753.0,2662.0
ORD-1059,2025-07-05,West,Electronics,3,369,1107.0,96.0
ORD-1051,2025-07-05,West,Electronics,5,821,4105.0,1147.0
ORD-1219,2025-07-06,West,Electronics,6,3171,19026.0,3383.0
ORD-1207,2025-07-08,East,Stationery,3,4053,12159.0,2136.0
ORD-1220,2025-07-11,South,Furniture,8,4436,35488.0,6247.0
ORD-1148,2025-07-11,North,Stationery,4,4153,16612.0,1146.0
ORD-1080,2025-07-12,South,Stationery,4,4624,18496.0,5536.0
ORD-1095,2025-07-14,East,Electronics,9,2059,18531.0,4432.0
ORD-1124,2025-07-16,East,Furniture,6,1088,6528.0,895.0
ORD-1187,2025-07-17,East,Furniture,9,936,8424.0,2297.0
ORD-1165,2025-07-18,East,Stationery,5,1971,9855.0,1033.0
ORD-1031,2025-07-19,South,Electronics,1,3977,3977.0,857.0
ORD-1128,2025-07-22,West,Stationery,4,4023,16092.0,3647.0
ORD-1160,2025-07-22,East,Electronics,9,259,2331.0,640.0
ORD-1184,2025-07-24,North,Electronics,6,3791,22746.0,4781.0
ORD-1157,2025-07-25,West,Electronics,2,4353,8706.0,456.0
ORD-1173,2025-07-25,West,Furniture,2,4100,8200.0,1093.0
ORD-1230,2025-07-27,South,Electronics,4,2178,8712.0,1690.0
ORD-1116,2025-07-27,West,Stationery,8,3084,24672.0,5534.0
ORD-1004,2025-07-28,South,Electronics,3,638,1914.0,215.0
ORD-1030,2025-07-29,North,Furniture,2,638,,209.0
ORD-1172,2025-07-30,North,Stationery,5,1587,7935.0,1062.0
ORD-1119,2025-08-01,North,Furniture,5,569,2845.0,595.0
ORD-1213,2025-08-01,East,Furniture,9,2997,26973.0,4747.0
ORD-1108,2025-08-04,East,Electronics,4,4337,17348.0,2073.0
ORD-1103,2025-08-04,East,Furniture,1,1182,1182.0,226.0
ORD-1121,2025-08-06,West,Furniture,9,1253,11277.0,1704.0
ORD-1154,2025-08-07,South,Electronics,2,4248,8496.0,1349.0
ORD-1098,2025-08-09,North,Furniture,8,1763,14104.0,2067.0
ORD-1045,2025-08-09,South,Electronics,8,4708,37664.0,8994.0
ORD-1076,2025-08-11,East,Stationery,6,1964,11784.0,1941.0
ORD-1037,2025-08-12,East,Stationery,5,4037,20185.0,2102.0
ORD-1001,2025-08-14,North,Electronics,3,4287,12861.0,3273.0
ORD-1057,2025-08-15,East,Stationery,2,2676,5352.0,1074.0
ORD-1123,2025-08-18,West,Furniture,6,1501,9006.0,1021.0
ORD-1089,2025-08-19,East,Electronics,5,2015,10075.0,2878.0
ORD-1171,2025-08-19,North,Furniture,8,1471,11768.0,3244.0
ORD-1102,2025-08-20,North,Stationery,4,1298,5192.0,1238.0
ORD-1234,2025-08-20,East,Furniture,4,3545,14180.0,3185.0
ORD-1203,2025-08-25,North,Stationery,8,3810,30480.0,1586.0
ORD-1106,2025-08-26,North,Stationery,9,2546,22914.0,2464.0
ORD-1147,2025-08-27,East,Stationery,2,4446,8892.0,1667.0
ORD-1078,2025-08-27,North,Electronics,4,3586,14344.0,3361.0
ORD-1141,2025-08-30,North,Electronics,4,2632,10528.0,2109.0
ORD-1125,2025-09-01,West,Furniture,6,1030,6180.0,1251.0
ORD-1210,2025-09-03,West,Furniture,8,2311,18488.0,2388.0
ORD-1215,2025-09-04,East,Furniture,9,2556,23004.0,1414.0
ORD-1002,2025-09-04,West,Furniture,6,4767,28602.0,8036.0
ORD-1100,2025-09-04,West,Electronics,3,2893,8679.0,737.0
ORD-1069,2025-09-07,East,Stationery,8,3870,30960.0,4114.0
ORD-1036,2025-09-10,West,Electronics,5,480,2400.0,151.0
ORD-1088,2025-09-12,East,Electronics,2,1018,2036.0,332.0
ORD-1180,2025-09-14,East,Furniture,5,4885,24425.0,2811.0
ORD-1194,2025-09-17,South,Stationery,9,2944,26496.0,2498.0
ORD-1024,2025-09-17,West,Electronics,3,2015,6045.0,1524.0
ORD-1072,2025-09-17,South,Furniture,3,4566,13698.0,3829.0
ORD-1096,2025-09-19,South,Stationery,4,783,3132.0,526.0
ORD-1204,2025-09-20,East,Electronics,2,3867,7734.0,1243.0
ORD-1232,2025-09-25,South,Stationery,3,3893,11679.0,2972.0
ORD-1091,2025-09-25,South,Furniture,6,3679,22074.0,3161.0
ORD-1162,2025-09-28,South,Electronics,8,2546,20368.0,1493.0
ORD-1191,2025-09-28,South,Electronics,1,2925,2925.0,740.0
ORD-1231,2025-09-29,North,Electronics,5,1496,7480.0,767.0
ORD-1186,2025-10-02,South,Furniture,2,260,520.0,28.0
ORD-1221,2025-10-03,South,Stationery,7,4121,28847.0,4582.0
ORD-1005,2025-10-07,,Electronics,4,1816,7264.0,679.0
ORD-1222,2025-10-12,North,Furniture,4,2980,11920.0,3431.0
ORD-1035,2025-10-13,East,Stationery,3,883,2649.0,321.0
ORD-1017,2025-10-14,,Stationery,9,4654,41886.0,9901.0
ORD-1196,2025-10-17,South,Furniture,4,2714,10856.0,2853.0
ORD-1034,2025-10-18,North,Electronics,3,571,1713.0,145.0
ORD-1054,2025-10-19,North,Stationery,6,2677,16062.0,1819.0
ORD-1233,2025-10-19,East,Furniture,1,1986,1986.0,106.0
ORD-1239,2025-10-21,West,Electronics,4,2884,11536.0,741.0
ORD-1113,2025-10-21,West,Furniture,2,2350,4700.0,983.0
ORD-1020,2025-10-21,South,Electronics,8,2238,17904.0,2478.0
ORD-1015,2025-10-23,South,Furniture,6,2348,14088.0,2420.0
ORD-1056,2025-10-24,North,Stationery,3,4588,13764.0,2195.0
ORD-1134,2025-10-25,South,Electronics,9,4474,40266.0,11994.0
ORD-1077,2025-10-26,North,Electronics,3,2382,7146.0,1365.0
ORD-1006,2025-10-28,West,Electronics,6,2735,16410.0,4304.0
ORD-1087,2025-11-01,North,Stationery,5,3754,18770.0,2187.0
ORD-1236,2025-11-01,North,Furniture,3,2161,6483.0,1088.0
ORD-1042,2025-11-01,East,Electronics,3,1299,3897.0,468.0
ORD-1151,2025-11-01,East,Stationery,3,4062,12186.0,824.0
ORD-1150,2025-11-01,North,Stationery,9,4049,36441.0,4858.0
ORD-1238,2025-11-02,East,Furniture,6,1037,6222.0,1150.0
ORD-1044,2025-11-05,West,Stationery,5,3844,19220.0,2552.0
ORD-1216,2025-11-07,West,Furniture,4,1071,4284.0,1275.0
ORD-1099,2025-11-10,West,Electronics,3,4821,14463.0,2288.0
ORD-1011,2025-11-11,North,Furniture,5,1084,5420.0,907.0
ORD-1145,2025-11-11,North,Furniture,2,799,1598.0,82.0
ORD-1209,2025-11-11,East,Stationery,1,2842,2842.0,779.0
ORD-1183,2025-11-12,South,Stationery,2,400,800.0,203.0
ORD-1083,2025-11-13,West,Stationery,6,3837,23022.0,3517.0
ORD-1070,2025-11-14,West,Furniture,5,4142,20710.0,5892.0
ORD-1169,2025-11-15,East,Stationery,3,551,1653.0,124.0
ORD-1003,2025-11-19,East,Furniture,3,3826,11478.0,865.0
ORD-1155,2025-11-22,South,Electronics,1,3055,3055.0,309.0
ORD-1218,2025-11-22,East,Stationery,7,2764,19348.0,1231.0
ORD-1198,2025-11-23,West,Furniture,9,3954,35586.0,3951.0
ORD-1223,2025-11-24,East,Electronics,6,848,5088.0,1461.0
ORD-1012,2025-11-25,North,Electronics,9,1501,13509.0,3788.0
ORD-1055,2025-11-27,South,Stationery,5,764,3820.0,324.0
ORD-1163,2025-12-01,East,Furniture,1,2704,2704.0,350.0
ORD-1227,2025-12-03,West,Stationery,6,3721,22326.0,5771.0
ORD-1086,2025-12-05,East,Electronics,3,1165,3495.0,1042.0
ORD-1153,2025-12-07,North,Stationery,9,519,4671.0,1316.0
ORD-1000,2025-12-07,West,Electronics,4,3682,14728.0,1130.0
ORD-1138,2025-12-09,East,Furniture,1,570,570.0,164.0
ORD-1126,2025-12-11,West,Electronics,8,3590,28720.0,5671.0
ORD-1156,2025-12-12,East,Stationery,1,2353,2353.0,534.0
ORD-1082,2025-12-14,South,Stationery,3,3644,10932.0,2768.0
ORD-1068,2025-12-15,North,Electronics,6,3799,22794.0,1668.0
ORD-1137,2025-12-15,South,Furniture,5,1510,7550.0,2247.0
ORD-1201,2025-12-15,West,Electronics,9,2941,26469.0,3384.0
ORD-1182,2025-12-15,West,Electronics,7,2137,14959.0,4309.0
ORD-1052,2025-12-16,North,Stationery,8,1709,13672.0,1745.0
ORD-1170,2025-12-16,South,Stationery,7,2038,14266.0,1269.0
ORD-1117,2025-12-19,East,Furniture,7,1666,11662.0,2789.0
ORD-1176,2025-12-20,West,Stationery,2,4898,9796.0,2146.0
ORD-1039,2025-12-23,West,Stationery,2,3494,6988.0,1161.0
ORD-1026,2025-12-23,North,Stationery,3,1093,3279.0,804.0
ORD-1064,2025-12-24,East,Stationery,5,2619,13095.0,2933.0
ORD-1033,2025-12-25,West,Stationery,8,1378,11024.0,1007.0
ORD-1224,2025-12-26,South,Stationery,2,4163,8326.0,676.0
